ID	Name\HasVariant	Glottocode	Family	ISO639P3Code	PRONTO
awapapuanewguinea	Awa (Papua New Guinea)		awap1236	Nuclear Trans New Guinea	awb	https://drive.google.com/file/d/1yPu3HwdCjnln1528Ml-gbMQAjlvpFHki/view?usp=share_link
awacuaiquer	Awa-Cuaiquer		awac1239	Barbacoan	kwi	https://drive.google.com/file/d/1NzIy77WahWTj6GcVOhh0b047IDU8YTwJ/view?usp=share_link
awabakal	Awabakal		awab1243	Pama-Nyungan	awk	https://drive.google.com/file/d/1NUujfDZS_oHozGPAwVEOcyYFPV8Fcbyg/view?usp=share_link
awiyaana	Awiyaana		awiy1238	Nuclear Trans New Guinea	auy	https://drive.google.com/file/d/1AOk0uFjibDjMcukPT1EUcPTBEuTuiwOZ/view?usp=share_link
maganchiayta	Mag-Anchi Ayta		maga1263	Austronesian	sgb	https://drive.google.com/file/d/1Ra6koucYLb8vfoEc6qs2NsYNPve4awgp/view?usp=share_link
southazerbaijani	South Azerbaijani		sout2697	Turkic	azb	https://drive.google.com/file/d/1WY7AyMUVc7piINbHRGFvp49Bm19DxBWZ/view?usp=share_link
baatonum	Baatonum		baat1238	Atlantic-Congo	bba	https://drive.google.com/file/d/1TE6Dj_Q1PGKjpitj_EJGckMgjYnhRWwo/view?usp=share_link
baeggu	Baeggu		baeg1237	Austronesian	bvd	https://drive.google.com/file/d/1mNr4mA4ezyk-hGlU3kYzdrZ4hz83w0MN/view?usp=share_link
bagasitemu	Baga Sitemu		baga1272	Atlantic-Congo	bsp	https://drive.google.com/file/d/1LDNo_Gc8n6mhZ-iaRnz-kJozCvM01TFx/view?usp=share_link
baikeno	Baikeno		baik1238	Austronesian	bkx	https://drive.google.com/file/d/1AlzBRHqXkg_i5uKITQh_y1rF2iZ85TDL/view?usp=share_link
bakairi	Bakairí		baka1277	Cariban	bkq	https://drive.google.com/file/d/1p0b2ID_82fT1Ec-LWn-5XiUQzMOGLWoP/view?usp=share_link
baki	Baki		baki1244	Austronesian	bki	https://drive.google.com/file/d/1zBytoD7l8trQSqsJTalMnE7nSCPcLxpT/view?usp=share_link
balangao	Balangao		bala1310	Austronesian	blw	https://drive.google.com/file/d/1xgu5knQYwkxWAA8Fw2ZP6n6xLD3cKXdd/view?usp=share_link
balantak	Balantak		bala1315	Austronesian	blz	https://drive.google.com/file/d/1wsLf5AH3SCzpCE1Dt2Rpkry1AbHgCToD/view?usp=share_link
bambam	Bambam		bamb1270	Austronesian	ptu	https://drive.google.com/file/d/1Dzn4EXpuGfKZYh5wd0cDbxLi1tDJTwWD/view?usp=share_link
bangwinji	Bangwinji		bang1348	Atlantic-Congo	bsj	https://drive.google.com/file/d/16nPu1frBu1RUKD6kQt261ZjgVeg-f1JQ/view?usp=share_link
barai	Barai		nucl1630	Koiarian	bbb	https://drive.google.com/file/d/1CZDKxoM0DB3S86QF7yFsl2QMQejEbg0_/view?usp=share_link
barasanaeduria	Barasana-Eduria		bara1380	Tucanoan	bsn	https://drive.google.com/file/d/10RrnlQUgf2GIKck3qMMFtr_CwkxUly-Z/view?usp=share_link
palyabareli	Palya Bareli		paly1238	Indo-European	bpx	https://drive.google.com/file/d/1800M8WqFsEPpgor4PxoSS_N0WEtdaQpX/view?usp=share_link
bargam	Bargam		barg1252	Nuclear Trans New Guinea	mlp	https://drive.google.com/file/d/16tQo12wSYPFfsU34wO7pDHjdtjOr9Oef/view?usp=share_link
bariai	Bariai		bari1286	Austronesian	bch	https://drive.google.com/file/d/1JH-gl2Y-7YfCG99UouEqYnADk6MmV7Yl/view?usp=share_link
barok	Barok		baro1253	Austronesian	bjk	https://drive.google.com/file/d/1BXTX0OeT8ebhNyKAmB3F1BQeKP9C07P0/view?usp=share_link
baruga	Baruga		baru1269	Nuclear Trans New Guinea	bjz	https://drive.google.com/file/d/1TLEQHtIUk1Y00GfxooJtQ0URBFhi6jIy/view?usp=share_link
baruya	Baruya		baru1267	Angan	byr	https://drive.google.com/file/d/1qBsMPOgExj1Efg-H92KAK5yB1LZKvmMX/view?usp=share_link
beami	Beami		beam1240	Bosavi	beo	https://drive.google.com/file/d/1o6z20T604hjrsHxoXQYWOr-vcsNXX1OZ/view?usp=share_link
beaver	Beaver		beav1236	Athabaskan-Eyak-Tlingit	bea	https://drive.google.com/file/d/1RuqF6Jyv1CAoyKI3orYw00gbd7rxZKun/view?usp=share_link
nangnda	Nangnda		bedj1245	Central Sudanic	bjv	https://drive.google.com/file/d/1yzBU_4RWF64m1O9D8JDAeNNn9aRIqkyD/view?usp=share_link
belarusian	Belarusian		bela1254	Indo-European	bel	https://drive.google.com/file/d/1k-OI9kTxqT1UaZsY1eR0_8P8OmN3KZTJ/view?usp=share_link
benabena	Benabena		bena1264	Nuclear Trans New Guinea	bef	https://drive.google.com/file/d/1FdC95kUSC6kkwSftYsaQ2snUTWsuUVF-/view?usp=share_link
bengali	Bengali		beng1280	Indo-European	ben	https://drive.google.com/file/d/1MqgUkw4qPaI-9qAozciHD4vbnKSkLgHd/view?usp=share_link
bengali1	Bengali	1	beng1280	Indo-European	ben	https://drive.google.com/file/d/1O0aXeTCIH3R7XkJP2XeHvw6bScBwxicV/view?usp=share_link
bhadrawahi	Bhadrawahi		bhad1241	Indo-European	bhd	https://drive.google.com/file/d/1fZ5JHYzPZyM81n5cIj37GVnzWYuZx3_H/view?usp=share_link
bhattiyali	Bhattiyali		bhat1263	Indo-European	bht	https://drive.google.com/file/d/1iBvGs0ddTP8wbtcxbN8IueySgF3Qohmt/view?usp=share_link
biangai	Biangai		bian1252	Kunimaipan	big	https://drive.google.com/file/d/1o7P3COggh0fN-ZhjUvX9cdrlp1DIKVJA/view?usp=share_link
biangai1	Biangai	1	bian1252	Kunimaipan	big	https://drive.google.com/file/d/1Q_7a51ooI7d_6of7F-ypWHJpDiakkSrE/view?usp=share_link
bimin	Bimin		bimi1240	Nuclear Trans New Guinea	bhl	https://drive.google.com/file/d/1zYlosU0x4Xg7w9CBstQJkQ3aGyZAUHrE/view?usp=share_link
binandere	Binandere		bina1277	Nuclear Trans New Guinea	bhg	https://drive.google.com/file/d/1327kK6IK76AiEnBZ6dELwBUDn-EjvJpN/view?usp=share_link
bine	Bine		bine1240	Eastern Trans-Fly	bon	https://drive.google.com/file/d/1cCn1y-VgROjj5En9mm9TR3pfPAouzT1g/view?usp=share_link
talaandigbinukid	Talaandig-Binukid		binu1244	Austronesian	bkd	https://drive.google.com/file/d/1a_PbEWytxESHPhckyEOYo73I4XJIiSIG/view?usp=share_link
binumarien	Binumarien		binu1245	Nuclear Trans New Guinea	bjr	https://drive.google.com/file/d/1ODGcUfeZqPWjulkwNdTwTma-QCXORyvc/view?usp=share_link
koronadalblaan	Koronadal Blaan		koro1310	Austronesian	bpr	https://drive.google.com/file/d/1Zyqr1HjghX_xMb9JCN6f94z2ZKtnx6G-/view?usp=share_link
saranganiblaan	Sarangani Blaan		sara1326	Austronesian	bps	https://drive.google.com/file/d/1TBLuaynyiZNMlbYQBoGyjCvDAD2rTetj/view?usp=share_link
siksika	Siksika		siks1238	Algic	bla	https://drive.google.com/file/d/1AqWMUOeLzlbxQsdku9HmNTzxZWaLBdSy/view?usp=share_link
blagar	Blagar		blag1240	Timor-Alor-Pantar	beu	https://drive.google.com/file/d/144CBuraxQOmLgXE35pHMFjDKCb9ldskP/view?usp=share_link
boung	Bo-Ung		boun1245	Nuclear Trans New Guinea	mux	https://drive.google.com/file/d/1G_gxSO0xhasJ7DzRWbadcXuyIfAB1D3r/view?usp=share_link
bodoparja	Bodo Parja		bodo1266	Indo-European	bdv	https://drive.google.com/file/d/1B4ce2xY13dsVNt0j0I2FOkndfAoL0Zkk/view?usp=share_link
bokobenin	Boko (Benin)		boko1266	Mande	bqc	https://drive.google.com/file/d/1nz6AUd48ib8l4MPgSJ5VvV3oWmpM_9kl/view?usp=share_link
bokobaru	Bokobaru		boko1267	Mande	bus	https://drive.google.com/file/d/1mbAifCXRe5yAeqjKi3Cr4ebGDp-Qggl7/view?usp=share_link
bola	Bola		bola1250	Austronesian	bnp	https://drive.google.com/file/d/1U3RLR52p2XBPOaQZb4CprjBhe_YJTJ5m/view?usp=share_link
bolinao	Bolinao		boli1256	Austronesian	smk	https://drive.google.com/file/d/1O70VwcNnKZfSlV5IijSCGorjcpoz8eZV/view?usp=share_link
centralbontoc	Central Bontoc		cent2292	Austronesian	lbk	https://drive.google.com/file/d/1YuoCnYfjEPTuxN7lYJnNEpL9uFcm34kb/view?usp=share_link
easternbontok	Eastern Bontok		east2881	Austronesian	ebk	https://drive.google.com/file/d/10iMHCPKeu4UEQzVP5gAse39U28bcQ0QJ/view?usp=share_link
bora	Bora		bora1263	Boran	boa	https://drive.google.com/file/d/1n9clE2-GWsIdt5eYvbOJ5lz_kF0zLqhd/view?usp=share_link
borei	Borei		bore1247	Ramu	gai	https://drive.google.com/file/d/11_Ynk0cpiIE1kaDk159iPamZMgxbVPKJ/view?usp=share_link
boroethiopia	Boro (Ethiopia)		boro1277	Ta-Ne-Omotic	bwo	https://drive.google.com/file/d/17tT6ez7V9weUpM-gbieDcN5okaUKir3r/view?usp=share_link
borong	Borong		boro1279	Nuclear Trans New Guinea	ksr	https://drive.google.com/file/d/1bi7-z3x25nTUDD8GkDYNFA9cCFGvHSAc/view?usp=share_link
breton	Breton		bret1244	Indo-European	bre	https://drive.google.com/file/d/1s0ldyZ9Y52WyZJUGmytjhgOErqFOaPmL/view?usp=share_link
bribri	Bribri		brib1243	Chibchan	bzd	https://drive.google.com/file/d/1FxH00kDSuJJkmOsdk6TrLkENa-tW4OaU/view?usp=share_link
bu	Bu		buuu1244	Atlantic-Congo	jid	https://drive.google.com/file/d/1qYq--U_KpbF85xP_WaQaioVJVjR6xOL6/view?usp=share_link
buamu	Buamu		buam1238	Atlantic-Congo	box	https://drive.google.com/file/d/17WOscZeC7OEZScIVBHPjBKs576FnbY82/view?usp=share_link
maposbuang	Mapos Buang		mapo1242	Austronesian	bzh	https://drive.google.com/file/d/1_YLTTRhDM_t7uWIBzu2FGdklLLMeZjCv/view?usp=share_link
manggabuang	Mangga Buang		mang1404	Austronesian	mmo	https://drive.google.com/file/d/1lAgPjjWLP7mpTDm7-RSMTWvsZcXbU9dO/view?usp=share_link
bughotu	Bughotu		bugh1239	Austronesian	bgt	https://drive.google.com/file/d/1AfAq2x0uOwugepA5nd5fcdKUQcI4Rg3L/view?usp=share_link
buglere	Buglere		bugl1243	Chibchan	sab	https://drive.google.com/file/d/1q31vXl17FD9Gn_ttNnJeTRFW7U01UTbD/view?usp=share_link
buhutu	Buhutu		buhu1237	Austronesian	bxh	https://drive.google.com/file/d/1DAqlOEEMmp7-bklW77Or6ACChSTREObn/view?usp=share_link
bugawac	Bugawac		buga1250	Austronesian	buk	https://drive.google.com/file/d/1Uo0zczAyAtNVEs0MOtZdGVYWtXOe0YB6/view?usp=share_link
bukiyip	Bukiyip		buki1249	Nuclear Torricelli	ape	https://drive.google.com/file/d/1-53GeJQ_VsH50UrGoWOaJfqku_q9ea2j/view?usp=share_link
bukiyip1	Bukiyip	1	buki1249	Nuclear Torricelli	ape	https://drive.google.com/file/d/1I9Yotys3LASmGILXHCxU_6a2GuPHlDoi/view?usp=share_link
bunama	Bunama		buna1276	Austronesian	bdd	https://drive.google.com/file/d/1gliI7jKtrQuuuuFGgFSTGxX_m3WsPIyY/view?usp=share_link
burarra	Burarra		bura1267	Maningrida	bvr	https://drive.google.com/file/d/1JXw0N1oqYGzIYGjM6fDKCdTZ8fe0OSfh/view?usp=share_link
burmese	Burmese		nucl1310	Sino-Tibetan	mya	https://drive.google.com/file/d/1UHfrUJvu23uW9xw47jWRTjJerS8bTItC/view?usp=share_link
burmese1	Burmese	1	nucl1310	Sino-Tibetan	mya	https://drive.google.com/file/d/14ntEmzk2UVcfkj5YdTYwCUaqp3J-7UCb/view?usp=share_link
busa	Busa		busa1253	Mande	bqp	https://drive.google.com/file/d/1CE7gKQmKQCSmDi64VzL2DXiOX-RePvOX/view?usp=share_link
bwanabwana	Bwanabwana		bwan1241	Austronesian	tte	https://drive.google.com/file/d/18h55GrkaJum0XeFmLBCrjNsOg2-PCGZP/view?usp=share_link
kakua	Kakua		cacu1241	Kakua-Nukak	cbv	https://drive.google.com/file/d/1w4VqvWzjpU1KWiAR3llyprDj3GfjLXPs/view?usp=share_link
caluyanun	Caluyanun		calu1238	Austronesian	clu	https://drive.google.com/file/d/19COpxYDcSIVrIbekb-57o8GYYvL2vpPE/view?usp=share_link
camsa	Camsá		cams1241		kbh	https://drive.google.com/file/d/15ynsbKZr1c2OwYkXMBIJ-C_rgIxsdA4P/view?usp=share_link
candoshishapra	Candoshi-Shapra		cand1248		cbu	https://drive.google.com/file/d/1Cxv9QRXJTXM14JSjZbnAJRYL1yMXig-k/view?usp=share_link
capanahua	Capanahua		capa1241	Pano-Tacanan	kaq	https://drive.google.com/file/d/1BLYONclb5lhdcAT7lDe50lNpvCopUpWR/view?usp=share_link
carapana	Carapana		cara1272	Tucanoan	cbc	https://drive.google.com/file/d/1yH-z_R8tCwuGRmTqnUtmVbPIk3DhqFGP/view?usp=share_link
galibicarib	Galibi Carib		gali1262	Cariban	car	https://drive.google.com/file/d/1Zyl115EVlt0RpsVazVhsY_eu0ydSmsyG/view?usp=share_link
centralcarrier	Central Carrier		carr1249	Athabaskan-Eyak-Tlingit	crx	https://drive.google.com/file/d/184ZfQJUW1iMlr2xyubh5X7dddMYIhh5I/view?usp=share_link
southerncarrier	Southern Carrier		sout2958	Athabaskan-Eyak-Tlingit	caf	https://drive.google.com/file/d/12vtZzpn3I_tWncDxxA0cn3Xxx5cD6FYO/view?usp=share_link
cashibocacataibo	Cashibo-Cacataibo		cash1251	Pano-Tacanan	cbr	https://drive.google.com/file/d/1FdspEKi-OW5JaRGOdaseJmMIsTUj-SU8/view?usp=share_link
